"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","397.85","399.70","401.00","397.40","34.75M","-0.62%"
"Dec 30, 2021","400.35","401.33","403.57","399.75","23.06M","-0.30%"
"Dec 29, 2021","401.55","401.75","403.05","399.11","31.96M","-0.01%"
"Dec 28, 2021","401.61","404.40","404.58","400.71","32.65M","-0.46%"
"Dec 27, 2021","403.48","398.25","403.48","398.22","31.41M","1.65%"
"Dec 23, 2021","396.92","394.31","398.42","394.14","29.60M","0.75%"
"Dec 22, 2021","393.95","388.91","394.16","388.23","35.57M","1.22%"
"Dec 21, 2021","389.21","384.05","389.53","380.20","48.48M","2.24%"
"Dec 20, 2021","380.69","379.57","381.50","377.47","61.91M","-1.10%"
"Dec 17, 2021","384.91","383.33","389.19","381.77","81.64M","-0.50%"
"Dec 16, 2021","386.84","398.04","398.48","385.21","81.58M","-2.57%"
"Dec 15, 2021","397.05","387.94","397.42","383.88","70.48M","2.28%"
"Dec 14, 2021","388.20","387.30","390.09","383.63","71.73M","-1.04%"
"Dec 13, 2021","392.26","398.00","398.33","391.88","49.63M","-1.44%"
"Dec 10, 2021","398.01","396.62","398.28","393.36","52.55M","1.09%"
"Dec 09, 2021","393.73","398.35","400.20","393.53","48.31M","-1.47%"
"Dec 08, 2021","399.61","398.17","399.82","396.22","38.83M","0.45%"
"Dec 07, 2021","397.83","393.03","398.46","392.99","54.93M","3.01%"
"Dec 06, 2021","386.20","383.63","387.60","379.30","67.11M","0.80%"
"Dec 03, 2021","383.13","391.31","392.34","378.90","105.35M","-1.74%"
"Dec 02, 2021","389.91","385.24","391.73","384.37","84.42M","0.72%"
"Dec 01, 2021","387.12","398.28","400.48","386.64","78.38M","-1.70%"
"Nov 30, 2021","393.82","398.68","401.19","391.78","81.33M","-1.47%"
"Nov 29, 2021","399.69","395.99","400.70","395.20","54.45M","2.17%"
"Nov 26, 2021","391.20","396.11","397.54","389.77","51.51M","-1.90%"
"Nov 24, 2021","398.76","394.93","399.05","392.54","46.95M","0.32%"
"Nov 23, 2021","397.48","398.03","400.21","392.92","70.10M","-0.46%"
"Nov 22, 2021","399.30","405.72","408.66","399.23","61.72M","-1.16%"
"Nov 19, 2021","403.99","403.43","405.30","402.58","45.19M","0.56%"
"Nov 18, 2021","401.75","399.73","402.27","397.45","45.72M","1.04%"
"Nov 17, 2021","397.63","397.75","399.72","396.64","28.03M","0.05%"
"Nov 16, 2021","397.42","393.86","397.92","393.68","27.87M","0.71%"
"Nov 15, 2021","394.61","395.91","396.24","392.10","33.72M","-0.02%"
"Nov 12, 2021","394.70","391.77","395.25","390.13","34.73M","1.05%"
"Nov 11, 2021","390.59","392.57","392.75","390.24","31.52M","0.28%"
"Nov 10, 2021","389.51","392.34","395.35","387.54","54.94M","-1.47%"
"Nov 09, 2021","395.32","399.16","399.54","393.94","50.49M","-0.69%"
"Nov 08, 2021","398.06","398.69","399.55","397.41","29.26M","-0.14%"
"Nov 05, 2021","398.60","400.04","400.99","397.16","43.38M","0.10%"
"Nov 04, 2021","398.22","394.45","399.18","393.93","40.27M","1.28%"
"Nov 03, 2021","393.18","389.55","393.59","388.49","33.75M","1.06%"
"Nov 02, 2021","389.05","386.82","389.54","386.79","25.14M","0.42%"
"Nov 01, 2021","387.43","386.56","387.54","384.55","30.77M","0.34%"
"Oct 29, 2021","386.11","381.06","386.28","380.70","37.31M","0.49%"
"Oct 28, 2021","384.22","382.01","384.46","381.22","38.01M","1.11%"
"Oct 27, 2021","380.00","379.76","383.12","379.35","45.76M","0.23%"
"Oct 26, 2021","379.12","380.26","382.70","377.92","47.19M","0.31%"
"Oct 25, 2021","377.93","375.63","378.86","373.59","32.60M","1.02%"
"Oct 22, 2021","374.10","375.98","376.97","372.39","36.28M","-0.84%"
"Oct 21, 2021","377.27","374.12","377.46","373.85","25.47M","0.61%"
"Oct 20, 2021","374.98","375.94","376.56","373.47","31.39M","-0.13%"
"Oct 19, 2021","375.47","373.88","375.50","373.09","29.09M","0.76%"
"Oct 18, 2021","372.65","367.70","372.85","367.00","34.51M","1.01%"
"Oct 15, 2021","368.94","367.88","369.06","366.82","40.42M","0.63%"
"Oct 14, 2021","366.63","363.73","366.85","363.03","43.43M","1.84%"
"Oct 13, 2021","360.00","359.59","360.57","357.45","40.12M","0.80%"
"Oct 12, 2021","357.14","359.80","360.26","356.49","43.91M","-0.35%"
"Oct 11, 2021","358.39","359.65","363.18","358.37","34.85M","-0.77%"
"Oct 08, 2021","361.16","364.08","364.32","360.61","41.82M","-0.50%"
"Oct 07, 2021","362.97","362.88","365.66","362.39","39.41M","0.92%"
"Oct 06, 2021","359.67","354.09","359.95","353.17","56.81M","0.64%"
"Oct 05, 2021","357.38","353.71","359.69","353.48","47.23M","1.35%"
"Oct 04, 2021","352.62","358.52","358.85","350.35","76.77M","-2.10%"
