"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","116.01","115.71","116.71","115.65","5.44M","0.28%"
"Dec 30, 2021","115.69","115.24","116.17","115.24","3.98M","0.43%"
"Dec 29, 2021","115.19","114.65","115.44","114.05","3.84M","0.67%"
"Dec 28, 2021","114.42","113.93","114.54","113.67","3.61M","0.37%"
"Dec 27, 2021","114.00","112.11","114.02","112.02","9.17M","0.75%"
"Dec 23, 2021","113.15","113.55","113.69","112.56","6.98M","-0.11%"
"Dec 22, 2021","113.27","112.45","113.38","112.32","4.48M","1.03%"
"Dec 21, 2021","112.12","111.73","112.64","111.50","4.23M","1.13%"
"Dec 20, 2021","110.87","110.57","111.18","109.62","6.06M","-0.78%"
"Dec 17, 2021","111.74","111.69","112.97","111.49","7.20M","-0.13%"
"Dec 16, 2021","111.88","112.27","112.92","111.27","5.90M","-0.04%"
"Dec 15, 2021","111.92","110.70","112.11","110.37","6.52M","1.40%"
"Dec 14, 2021","110.37","111.49","111.71","109.84","5.90M","-1.28%"
"Dec 13, 2021","111.80","110.54","112.29","110.21","6.16M","0.94%"
"Dec 10, 2021","110.76","110.98","111.00","110.28","3.83M","0.31%"
"Dec 09, 2021","110.42","111.61","111.65","110.39","3.72M","-1.45%"
"Dec 08, 2021","112.04","111.24","112.31","111.00","5.54M","0.72%"
"Dec 07, 2021","111.24","110.56","111.56","110.29","5.36M","1.44%"
"Dec 06, 2021","109.66","108.42","110.45","108.42","7.11M","1.75%"
"Dec 03, 2021","107.77","108.25","108.76","106.84","7.80M","-0.33%"
"Dec 02, 2021","108.13","105.65","108.76","105.61","7.13M","3.00%"
"Dec 01, 2021","104.98","107.85","109.06","104.98","8.64M","-1.65%"
"Nov 30, 2021","106.74","108.12","108.43","106.66","6.34M","-1.89%"
"Nov 29, 2021","108.80","108.68","109.71","108.01","4.83M","0.74%"
"Nov 26, 2021","108.00","109.50","109.50","107.36","3.51M","-2.78%"
"Nov 24, 2021","111.09","109.69","111.29","109.43","3.23M","1.21%"
"Nov 23, 2021","109.76","109.00","110.07","108.70","3.87M","0.81%"
"Nov 22, 2021","108.88","109.68","109.82","108.70","3.35M","-0.49%"
"Nov 19, 2021","109.42","110.08","110.18","109.01","2.93M","-0.59%"
"Nov 18, 2021","110.07","110.20","110.26","109.58","2.81M","0.02%"
"Nov 17, 2021","110.05","109.43","110.20","107.97","4.67M","0.31%"
"Nov 16, 2021","109.71","110.55","110.59","109.47","3.04M","-0.66%"
"Nov 15, 2021","110.44","109.91","110.47","109.45","2.71M","0.70%"
"Nov 12, 2021","109.67","110.05","110.08","109.36","3.19M","-0.07%"
"Nov 11, 2021","109.75","109.74","109.77","109.00","2.40M","0.16%"
"Nov 10, 2021","109.57","109.82","110.44","109.53","4.02M","-0.46%"
"Nov 09, 2021","110.08","110.04","110.31","109.77","2.67M","0.17%"
"Nov 08, 2021","109.89","110.39","110.39","109.20","2.99M","-0.08%"
"Nov 05, 2021","109.98","110.41","111.27","109.88","3.21M","0.51%"
"Nov 04, 2021","109.42","110.49","110.91","108.97","3.38M","-0.95%"
"Nov 03, 2021","110.47","110.09","110.77","109.61","2.72M","0.34%"
"Nov 02, 2021","110.10","109.99","110.52","109.24","3.41M","0.47%"
"Nov 01, 2021","109.58","109.41","109.79","107.80","5.85M","0.50%"
"Oct 29, 2021","109.04","109.80","110.23","108.54","5.99M","-1.12%"
"Oct 28, 2021","110.28","108.81","110.30","108.81","3.68M","1.40%"
"Oct 27, 2021","108.76","110.00","110.07","108.76","3.57M","-0.85%"
"Oct 26, 2021","109.69","109.60","110.05","109.36","2.94M","0.27%"
"Oct 25, 2021","109.39","109.07","109.66","108.42","2.63M","0.32%"
"Oct 22, 2021","109.04","108.67","109.41","108.57","4.87M","0.47%"
"Oct 21, 2021","108.53","108.33","108.58","108.08","4.85M","0.14%"
"Oct 20, 2021","108.38","106.89","108.38","106.85","6.02M","1.57%"
"Oct 19, 2021","106.70","107.14","107.32","106.61","3.10M","0.05%"
"Oct 18, 2021","106.65","105.93","107.00","105.80","3.42M","0.25%"
"Oct 15, 2021","106.38","107.31","107.40","105.91","3.07M","-0.08%"
"Oct 14, 2021","106.46","105.75","106.55","105.53","2.72M","1.22%"
"Oct 13, 2021","105.18","104.29","105.22","103.63","3.37M","0.73%"
"Oct 12, 2021","104.42","103.33","104.86","103.07","3.67M","1.31%"
"Oct 11, 2021","103.07","102.82","103.52","102.34","2.63M","0.25%"
"Oct 08, 2021","102.81","103.78","103.90","102.73","5.30M","-0.94%"
"Oct 07, 2021","103.79","104.07","105.00","103.66","4.06M","0.27%"
"Oct 06, 2021","103.51","102.02","103.64","101.02","5.59M","0.96%"
"Oct 05, 2021","102.53","103.32","103.40","102.17","4.31M","-0.69%"
"Oct 04, 2021","103.24","103.06","103.69","102.60","5.64M","0.02%"
"Oct 01, 2021","103.22","102.44","103.93","101.83","6.11M","1.41%"
"Sep 30, 2021","101.78","103.81","103.95","101.78","7.02M","-1.65%"
"Sep 29, 2021","103.49","103.25","103.99","103.17","6.23M","0.75%"
"Sep 28, 2021","102.72","102.65","103.27","102.11","7.10M","-0.68%"
"Sep 27, 2021","103.42","104.88","105.58","103.33","4.31M","-1.35%"
"Sep 24, 2021","104.83","105.68","106.10","104.59","4.88M","-1.68%"
"Sep 23, 2021","106.62","107.24","107.49","106.53","4.04M","-0.20%"
"Sep 22, 2021","106.83","106.43","107.47","106.13","4.65M","0.97%"
"Sep 21, 2021","105.80","106.37","107.06","105.78","4.37M","0.05%"
"Sep 20, 2021","105.75","105.24","106.31","104.49","6.21M","-0.61%"
"Sep 17, 2021","106.40","107.13","107.66","106.18","6.96M","-0.89%"
"Sep 16, 2021","107.36","107.19","107.86","106.57","3.41M","0.08%"
"Sep 15, 2021","107.27","106.93","107.74","106.50","4.03M","0.32%"
"Sep 14, 2021","106.93","107.53","107.70","106.32","3.85M","-0.18%"
"Sep 13, 2021","107.12","107.20","107.99","106.83","5.73M","0.68%"
"Sep 10, 2021","106.40","108.07","108.25","106.38","5.89M","-1.46%"
"Sep 09, 2021","107.98","109.69","109.69","107.95","6.22M","-2.03%"
"Sep 08, 2021","110.22","109.31","110.53","109.15","4.27M","0.50%"
"Sep 07, 2021","109.67","110.64","110.64","108.83","4.93M","-1.13%"
"Sep 03, 2021","110.92","110.63","111.06","109.70","4.46M","0.02%"
"Sep 02, 2021","110.90","110.53","110.91","109.65","5.21M","0.53%"
"Sep 01, 2021","110.32","108.84","110.39","108.81","5.68M","1.60%"
"Aug 31, 2021","108.58","107.87","108.70","107.57","4.21M","0.47%"
"Aug 30, 2021","108.07","107.10","108.08","106.81","3.60M","1.00%"
"Aug 27, 2021","107.00","106.27","107.33","106.16","3.06M","1.05%"
"Aug 26, 2021","105.89","105.98","106.23","105.47","2.89M","0.04%"
"Aug 25, 2021","105.85","105.91","106.50","105.43","3.33M","-0.07%"
"Aug 24, 2021","105.92","106.58","106.60","105.46","2.87M","-0.44%"
"Aug 23, 2021","106.39","106.84","107.00","106.09","3.23M","-0.19%"
"Aug 20, 2021","106.59","105.82","107.03","105.22","3.24M","0.50%"
"Aug 19, 2021","106.06","105.06","106.14","104.86","4.07M","0.48%"
"Aug 18, 2021","105.55","106.33","106.35","105.49","3.44M","-0.91%"
"Aug 17, 2021","106.52","106.16","106.56","105.61","3.00M","-0.10%"
"Aug 16, 2021","106.63","106.66","107.22","106.38","3.17M","-0.12%"
"Aug 13, 2021","106.76","106.40","106.88","106.05","2.60M","0.55%"
"Aug 12, 2021","106.18","106.15","106.23","105.72","2.89M","0.22%"
"Aug 11, 2021","105.95","105.71","106.08","105.29","3.26M","0.59%"
"Aug 10, 2021","105.33","106.44","106.49","105.20","3.77M","-0.95%"
"Aug 09, 2021","106.34","106.72","106.72","106.15","2.73M","-0.53%"
"Aug 08, 2021","106.91","106.91","106.91","106.91","-","0.00%"
"Aug 07, 2021","106.91","106.91","106.91","106.91","-","0.00%"
"Aug 06, 2021","106.91","107.20","107.62","106.76","2.75M","-0.18%"
"Aug 05, 2021","107.10","106.44","107.12","106.19","3.29M","1.17%"
"Aug 04, 2021","105.86","106.10","106.57","105.48","4.04M","-0.31%"
"Aug 03, 2021","106.19","106.38","106.40","105.44","5.18M","0.12%"
"Aug 02, 2021","106.06","106.81","107.64","105.86","4.09M","-0.22%"
"Jul 30, 2021","106.29","106.25","107.69","106.25","4.33M","0.13%"
"Jul 29, 2021","106.15","106.50","107.18","106.05","3.36M","0.02%"
"Jul 28, 2021","106.13","106.65","106.79","105.80","3.58M","-0.35%"
"Jul 27, 2021","106.50","105.67","106.66","105.42","3.10M","0.57%"
"Jul 26, 2021","105.90","105.68","106.16","105.13","2.86M","0.05%"
