"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","135.56","136.87","137.33","135.51","78.07K","-1.19%"
"Dec 30, 2021","137.19","136.78","137.99","136.78","114.21K","0.51%"
"Dec 29, 2021","136.50","137.10","137.53","136.10","97.53K","-0.53%"
"Dec 28, 2021","137.23","137.48","138.47","137.04","119.79K","-0.17%"
"Dec 27, 2021","137.47","136.81","137.79","136.58","94.77K","0.73%"
"Dec 23, 2021","136.48","135.65","136.88","135.20","160.92K","0.99%"
"Dec 22, 2021","135.14","134.41","135.44","134.09","131.48K","0.39%"
"Dec 21, 2021","134.61","132.74","134.82","132.47","212.66K","2.07%"
"Dec 20, 2021","131.88","131.62","132.00","130.68","290.56K","-0.90%"
"Dec 17, 2021","133.08","132.09","133.89","131.35","442.75K","0.11%"
"Dec 16, 2021","132.94","133.94","134.83","132.50","191.89K","-0.75%"
"Dec 15, 2021","133.95","132.45","134.01","130.49","140.67K","0.91%"
"Dec 14, 2021","132.74","131.84","133.09","131.50","190.05K","-0.42%"
"Dec 13, 2021","133.30","134.29","134.64","132.82","121.61K","-0.87%"
"Dec 10, 2021","134.47","135.52","135.71","133.64","210.54K","-0.13%"
"Dec 09, 2021","134.65","135.78","136.48","134.33","387.91K","-1.23%"
"Dec 08, 2021","136.33","135.47","136.69","135.15","165.17K","1.06%"
"Dec 07, 2021","134.90","135.10","135.68","134.55","170.96K","1.06%"
"Dec 06, 2021","133.49","132.03","133.77","131.32","160.85K","1.65%"
"Dec 03, 2021","131.32","132.62","132.70","129.69","609.58K","-0.38%"
"Dec 02, 2021","131.82","129.74","132.27","129.68","229.48K","1.90%"
"Dec 01, 2021","129.36","134.55","134.90","129.24","708.72K","-2.53%"
"Nov 30, 2021","132.72","135.82","135.88","132.49","777.96K","-2.90%"
"Nov 29, 2021","136.69","137.34","137.34","135.79","168.97K","0.53%"
"Nov 26, 2021","135.97","136.72","136.76","135.45","190.92K","-1.69%"
"Nov 24, 2021","138.31","137.75","138.48","137.11","107.64K","0.12%"
"Nov 23, 2021","138.15","138.23","138.91","137.07","209.34K","-0.40%"
"Nov 22, 2021","138.70","140.54","140.61","138.68","1.04M","-1.08%"
"Nov 19, 2021","140.21","141.57","141.62","140.02","2.84M","-0.69%"
"Nov 18, 2021","141.19","142.31","142.31","140.61","126.04K","-0.93%"
"Nov 17, 2021","142.51","143.09","143.28","142.24","89.83K","-0.45%"
"Nov 16, 2021","143.15","143.79","143.79","143.10","85.97K","-0.60%"
"Nov 15, 2021","144.02","143.97","144.48","143.68","130.41K","0.41%"
"Nov 12, 2021","143.43","142.48","143.54","141.87","63.77K","1.19%"
"Nov 11, 2021","141.74","141.97","142.57","141.71","151.56K","-0.35%"
"Nov 10, 2021","142.24","143.08","143.61","141.79","149.49K","-1.19%"
"Nov 09, 2021","143.96","144.55","144.59","143.37","86.46K","-0.33%"
"Nov 08, 2021","144.44","144.67","145.31","144.25","122.85K","-0.09%"
"Nov 05, 2021","144.57","144.26","145.39","144.26","95.76K","1.03%"
"Nov 04, 2021","143.10","143.36","143.88","142.53","76.02K","-0.06%"
"Nov 03, 2021","143.19","142.37","143.24","141.69","97.75K","0.63%"
"Nov 02, 2021","142.29","142.36","142.80","141.58","201.62K","0.08%"
"Nov 01, 2021","142.17","142.37","143.00","141.84","124.43K","0.28%"
"Oct 29, 2021","141.78","141.00","141.96","140.90","67.09K","0.29%"
"Oct 28, 2021","141.37","140.49","141.93","140.14","123.47K","0.67%"
"Oct 27, 2021","140.43","140.93","141.88","140.42","115.35K","-0.33%"
"Oct 26, 2021","140.90","142.76","142.76","140.40","99.22K","-0.74%"
"Oct 25, 2021","141.95","140.28","141.95","140.28","129.02K","0.30%"
"Oct 22, 2021","141.52","142.57","142.83","140.83","117.47K","-2.44%"
"Oct 21, 2021","145.06","144.61","145.08","144.38","105.25K","0.18%"
"Oct 20, 2021","144.80","144.80","145.15","144.30","268.36K","0.28%"
"Oct 19, 2021","144.39","143.89","144.48","143.58","76.67K","0.80%"
"Oct 18, 2021","143.25","141.96","143.28","141.95","86.86K","0.53%"
"Oct 15, 2021","142.50","143.55","143.55","142.49","106.33K","-0.16%"
"Oct 14, 2021","142.73","141.98","143.03","141.84","77.16K","1.55%"
"Oct 13, 2021","140.55","140.62","140.99","139.75","516.90K","0.59%"
"Oct 12, 2021","139.72","140.93","140.93","139.22","475.83K","-0.67%"
"Oct 11, 2021","140.66","141.86","142.69","140.64","98.32K","-1.36%"
"Oct 08, 2021","142.60","144.07","144.07","142.49","99.29K","-0.77%"
"Oct 07, 2021","143.71","144.41","144.83","143.60","71.23K","0.76%"
"Oct 06, 2021","142.62","140.78","142.73","140.30","152.57K","0.32%"
"Oct 05, 2021","142.17","140.84","142.98","140.74","88.26K","1.30%"
"Oct 04, 2021","140.34","141.59","141.59","139.35","139.73K","-2.02%"
"Oct 01, 2021","143.23","141.47","143.86","141.00","126.88K","1.75%"
"Sep 30, 2021","140.77","141.40","142.19","140.67","150.19K","-0.26%"
"Sep 29, 2021","141.14","142.44","142.79","140.94","258.83K","-0.50%"
"Sep 28, 2021","141.85","144.30","144.30","141.85","95.51K","-2.73%"
"Sep 27, 2021","145.83","145.09","146.28","145.09","114.99K","-0.13%"
"Sep 24, 2021","146.02","144.40","146.26","144.40","58.67K","0.70%"
"Sep 23, 2021","145.00","144.47","145.67","144.47","90.53K","0.88%"
"Sep 22, 2021","143.73","143.30","144.40","143.30","125.73K","0.35%"
"Sep 21, 2021","143.23","144.50","144.87","143.13","134.22K","-0.15%"
"Sep 20, 2021","143.44","143.94","144.51","141.76","168.46K","-2.15%"
"Sep 17, 2021","146.59","147.61","147.72","145.87","78.06K","-0.81%"
"Sep 16, 2021","147.78","147.70","148.11","146.83","82.84K","-0.04%"
"Sep 15, 2021","147.84","147.01","148.10","145.92","84.49K","0.63%"
"Sep 14, 2021","146.92","148.58","148.58","146.74","101.23K","-1.10%"
"Sep 13, 2021","148.55","148.60","148.92","147.82","111.08K","0.32%"
"Sep 10, 2021","148.08","149.69","149.72","148.05","73.75K","-0.70%"
"Sep 09, 2021","149.12","149.36","149.94","148.97","82.28K","-0.33%"
"Sep 08, 2021","149.61","150.05","150.52","149.11","89.85K","-0.60%"
"Sep 07, 2021","150.51","150.34","150.79","150.08","89.57K","0.35%"
"Sep 03, 2021","149.99","149.84","150.16","149.44","87.83K","-0.11%"
"Sep 02, 2021","150.16","150.75","150.76","149.84","95.86K","-0.33%"
"Sep 01, 2021","150.66","150.54","151.26","150.49","117.41K","0.51%"
"Aug 31, 2021","149.89","149.63","150.19","149.29","78.11K","0.36%"
"Aug 30, 2021","149.35","148.65","149.61","148.03","326.82K","0.73%"
"Aug 27, 2021","148.27","146.23","148.54","146.23","57.81K","1.63%"
"Aug 26, 2021","145.89","146.98","147.21","145.87","124.34K","-0.86%"
"Aug 25, 2021","147.15","146.91","147.36","146.59","78.94K","0.27%"
"Aug 24, 2021","146.76","146.25","147.08","146.25","197.73K","0.58%"
"Aug 23, 2021","145.91","144.50","146.46","144.50","76.66K","1.45%"
"Aug 20, 2021","143.82","142.43","144.00","142.17","60.78K","1.08%"
"Aug 19, 2021","142.28","141.89","142.89","141.71","102.06K","-0.27%"
"Aug 18, 2021","142.67","143.32","144.13","142.48","79.19K","-0.66%"
"Aug 17, 2021","143.62","143.87","144.40","142.65","98.94K","-0.88%"
"Aug 16, 2021","144.89","144.39","144.89","143.10","83.90K","0.03%"
"Aug 13, 2021","144.84","145.38","145.50","144.78","123.94K","-0.17%"
"Aug 12, 2021","145.08","144.59","145.11","143.90","203.62K","0.26%"
