"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","90.61","90.05","90.84","90.03","3.23M","0.44%"
"Dec 30, 2021","90.21","90.56","91.08","90.14","3.17M","-0.35%"
"Dec 29, 2021","90.53","90.08","90.69","90.00","2.57M","0.41%"
"Dec 28, 2021","90.16","89.60","90.25","89.58","4.26M","0.58%"
"Dec 27, 2021","89.64","88.59","89.65","88.46","2.42M","1.51%"
"Dec 23, 2021","88.31","87.57","88.60","87.44","2.87M","1.01%"
"Dec 22, 2021","87.43","86.64","87.50","86.53","2.93M","0.80%"
"Dec 21, 2021","86.74","86.28","87.08","86.21","4.48M","1.26%"
"Dec 20, 2021","85.66","85.98","86.03","84.57","7.06M","-2.28%"
"Dec 17, 2021","87.66","88.45","88.71","87.60","7.83M","-1.25%"
"Dec 16, 2021","88.77","88.47","89.34","88.40","6.53M","1.02%"
"Dec 15, 2021","87.87","87.31","87.97","86.36","7.21M","0.22%"
"Dec 14, 2021","87.68","87.70","88.42","87.44","4.54M","-0.10%"
"Dec 13, 2021","87.77","88.25","88.45","87.48","4.54M","-0.60%"
"Dec 10, 2021","88.30","88.43","88.64","87.72","4.79M","0.62%"
"Dec 09, 2021","87.76","87.59","88.18","87.40","3.28M","-0.56%"
"Dec 08, 2021","88.25","88.18","88.44","87.74","4.58M","0.42%"
"Dec 07, 2021","87.88","87.56","88.43","87.55","5.61M","1.52%"
"Dec 06, 2021","86.56","86.17","87.24","85.86","8.08M","1.47%"
"Dec 03, 2021","85.31","85.64","86.56","84.55","9.99M","-0.22%"
"Dec 02, 2021","85.50","84.05","85.84","83.93","8.98M","2.04%"
"Dec 01, 2021","83.79","85.83","86.73","83.76","11.24M","-1.02%"
"Nov 30, 2021","84.65","86.31","86.56","84.49","12.00M","-2.48%"
"Nov 29, 2021","86.80","87.05","87.25","86.24","6.14M","0.46%"
"Nov 26, 2021","86.40","85.91","86.81","85.47","7.11M","-1.72%"
"Nov 24, 2021","87.91","88.07","88.27","87.71","5.18M","-0.71%"
"Nov 23, 2021","88.54","88.53","89.16","88.09","7.62M","0.10%"
"Nov 22, 2021","88.45","88.40","89.39","88.31","6.69M","0.16%"
"Nov 19, 2021","88.31","88.16","88.84","88.02","5.21M","-0.18%"
"Nov 18, 2021","88.47","88.92","89.09","88.29","5.19M","-0.43%"
"Nov 17, 2021","88.85","89.30","89.53","88.78","5.27M","-0.66%"
"Nov 16, 2021","89.44","89.70","89.99","89.38","4.39M","-0.28%"
"Nov 15, 2021","89.69","90.13","90.13","89.38","4.31M","-0.46%"
"Nov 12, 2021","90.10","89.67","90.14","89.46","4.39M","0.75%"
"Nov 11, 2021","89.43","89.12","89.80","88.93","4.08M","0.80%"
"Nov 10, 2021","88.72","89.14","89.64","88.54","6.44M","-0.68%"
"Nov 09, 2021","89.33","88.99","89.33","88.60","7.88M","0.46%"
"Nov 08, 2021","88.92","88.90","89.23","88.61","5.35M","1.25%"
"Nov 05, 2021","87.82","87.36","88.06","87.27","5.83M","0.78%"
"Nov 04, 2021","87.14","87.26","87.50","86.78","5.04M","-0.06%"
"Nov 03, 2021","87.19","86.44","87.56","86.23","9.59M","1.04%"
"Nov 02, 2021","86.29","85.53","86.46","85.38","6.64M","1.14%"
"Nov 01, 2021","85.32","85.28","85.82","85.03","5.52M","0.23%"
"Oct 29, 2021","85.12","85.21","85.83","84.81","4.35M","-0.48%"
"Oct 28, 2021","85.53","84.79","85.68","84.79","4.15M","0.99%"
"Oct 27, 2021","84.69","85.69","85.74","84.64","5.70M","-1.43%"
"Oct 26, 2021","85.92","85.76","86.26","85.14","5.78M","0.28%"
"Oct 25, 2021","85.68","85.31","86.04","84.87","5.40M","1.00%"
"Oct 22, 2021","84.83","85.15","85.73","84.83","5.78M","-0.19%"
"Oct 21, 2021","84.99","84.86","85.02","84.12","6.70M","-0.26%"
"Oct 20, 2021","85.21","84.56","85.30","84.40","4.65M","0.80%"
"Oct 19, 2021","84.53","84.44","84.53","83.83","4.80M","0.52%"
"Oct 18, 2021","84.09","83.54","84.25","83.29","6.35M","-0.07%"
"Oct 15, 2021","84.15","84.34","84.57","83.94","5.85M","0.30%"
"Oct 14, 2021","83.90","82.77","84.01","82.49","5.69M","2.43%"
"Oct 13, 2021","81.91","81.83","82.28","80.93","7.22M","0.75%"
"Oct 12, 2021","81.30","81.24","81.68","81.02","7.67M","0.14%"
"Oct 11, 2021","81.19","81.44","82.37","81.19","4.84M","0.01%"
"Oct 08, 2021","81.18","81.83","82.03","81.03","6.40M","-0.55%"
"Oct 07, 2021","81.63","81.31","82.51","81.28","8.47M","1.30%"
"Oct 06, 2021","80.58","79.92","80.58","79.06","7.72M","-0.19%"
"Oct 05, 2021","80.73","80.24","81.18","79.70","6.79M","0.89%"
"Oct 04, 2021","80.02","80.44","80.93","79.45","8.56M","-0.44%"
"Oct 01, 2021","80.37","79.49","80.80","78.89","9.25M","1.59%"
"Sep 30, 2021","79.11","80.60","80.92","79.11","10.73M","-1.56%"
"Sep 29, 2021","80.36","80.65","80.84","80.21","6.97M","-0.41%"
"Sep 28, 2021","80.69","81.44","81.61","80.45","8.29M","-1.24%"
"Sep 27, 2021","81.70","81.33","82.16","81.29","5.22M","0.78%"
"Sep 24, 2021","81.07","80.82","81.50","80.63","3.63M","-0.15%"
"Sep 23, 2021","81.19","80.57","81.74","80.57","4.76M","1.42%"
"Sep 22, 2021","80.05","80.06","80.84","80.01","7.66M","1.03%"
"Sep 21, 2021","79.23","79.98","80.04","78.89","7.61M","-0.24%"
"Sep 20, 2021","79.42","79.04","79.79","78.37","10.08M","-2.35%"
"Sep 17, 2021","81.33","82.58","82.73","81.07","9.97M","-2.06%"
"Sep 16, 2021","83.04","83.60","83.62","82.44","5.63M","-1.08%"
"Sep 15, 2021","83.95","83.27","84.05","83.13","6.33M","1.06%"
"Sep 14, 2021","83.07","84.29","84.29","82.89","6.04M","-1.10%"
"Sep 13, 2021","83.99","84.79","84.99","83.46","7.61M","-0.02%"
"Sep 10, 2021","84.01","84.42","85.05","83.96","8.89M","-0.02%"
"Sep 09, 2021","84.03","83.79","84.60","83.77","4.94M","0.04%"
"Sep 08, 2021","84.00","84.56","84.64","83.71","6.21M","-0.96%"
"Sep 07, 2021","84.81","85.07","85.11","84.69","6.93M","-0.66%"
"Sep 03, 2021","85.37","85.85","86.10","85.35","11.44M","-0.66%"
"Sep 02, 2021","85.94","85.63","86.11","85.62","5.32M","0.64%"
"Sep 01, 2021","85.39","85.60","85.72","84.66","7.01M","-0.26%"
"Aug 31, 2021","85.61","85.77","85.80","85.20","5.30M","-0.29%"
"Aug 30, 2021","85.86","86.32","86.45","85.86","4.51M","-0.10%"
"Aug 27, 2021","85.95","85.26","86.20","85.17","5.18M","1.32%"
"Aug 26, 2021","84.83","85.36","85.50","84.79","5.77M","-0.69%"
"Aug 25, 2021","85.42","84.80","85.70","84.48","4.91M","0.46%"
"Aug 24, 2021","85.03","84.92","85.29","84.77","5.53M","0.63%"
"Aug 23, 2021","84.50","84.29","84.72","84.04","4.05M","0.86%"
"Aug 20, 2021","83.78","83.32","83.96","83.19","6.99M","0.59%"
"Aug 19, 2021","83.29","83.05","83.64","82.85","7.97M","-0.89%"
"Aug 18, 2021","84.04","84.73","85.23","83.99","7.36M","-1.16%"
"Aug 17, 2021","85.03","85.49","85.63","84.05","7.46M","-1.15%"
"Aug 16, 2021","86.02","85.95","86.13","85.12","6.14M","-0.50%"
"Aug 13, 2021","86.45","86.49","86.63","86.29","3.91M","0.09%"
"Aug 12, 2021","86.37","86.54","86.58","85.61","4.81M","-0.16%"
"Aug 11, 2021","86.51","85.96","86.57","85.60","8.27M","1.41%"
